Player Name,Team,Shots,Goals,xG,% rate,G - xG
Angelo Fulgini,Brest,1,0,0.17,0.0,-0.17
Antoine Joujou,LeHavre,1,0,0.04,0.0,-0.04
Aboubacar Lô,Metz,1,0,0.13,0.0,-0.13
Abdoulaye Touré,Montpellier,1,0,0.02,0.0,-0.02
Therence Koudou,Reims,1,0,0.01,0.0,-0.01
Thibault De Smet,Reims,1,0,0.05,0.0,-0.05
Axel Camblan,Brest,1,0,0.15,0.0,-0.15
Achraf Dari,Brest,1,0,0.05,0.0,-0.05
Aïman Maurer,Clermont,1,0,0.07,0.0,-0.07
Caio Henrique,Clermont,1,0,0.03,0.0,-0.03
Yassine Kechta,Montpellier,1,0,0.02,0.0,-0.02
Thomas Foket,Reims,1,0,0.03,0.0,-0.03
Andy Diouf,Brest,1,0,0.01,0.0,-0.01
Benjamin Lecomte,Strasbourg,1,1,0.0,100.0,1.0
Tiemoué Bakayoko,Lorient,1,0,0.02,0.0,-0.02
Benjamin Mendy,Lorient,1,0,0.01,0.0,-0.01
Warmed Omari,Lorient,1,1,0.0,100.0,1.0
Birger Meling,Rennes,1,0,0.15,0.0,-0.15
Yoann Salmier,Lille,1,1,0.0,100.0,1.0
Arouna Sangante,Marseille,1,1,0.0,100.0,1.0
Loic Négo,Montpellier,1,0,0.07,0.0,-0.07
Christopher Wooh,Rennes,1,1,0.79,100.0,0.21
Maximiliano Caufriez,Clermont,1,0,0.08,0.0,-0.08
Naatan Skyttä,Toulouse,1,0,0.14,0.0,-0.14
Myron Boadu,Monaco,1,1,0.38,100.0,0.62
Moussa Sissoko,Nantes,1,0,0.17,0.0,-0.17
Moussa Diarra,Toulouse,1,0,0.09,0.0,-0.09
Ignatius Ganago,Nantes,1,0,0.11,0.0,-0.11
Morgan Guilavogui,Brest,1,0,0.03,0.0,-0.03
Jake O'Brien,Lyon,1,0,0.06,0.0,-0.06
Jean-Kevin Duverne,Nantes,1,0,0.21,0.0,-0.21
Joel Mugisha Mvuka,Lorient,1,0,0.01,0.0,-0.01
Maxime Estève,Montpellier,1,0,0.01,0.0,-0.01
Daler Kuzyaev,Montpellier,1,0,0.03,0.0,-0.03
Jordan Lotomba,Nice,1,0,0.08,0.0,-0.08
Massadio Haïdara,Lens,1,0,0.02,0.0,-0.02
Jérémie Bela,Clermont,1,0,0.02,0.0,-0.02
Marquinhos,PSG,1,0,0.13,0.0,-0.13
